iter	Logloss
0	0.6576018043
1	0.6298827969
2	0.6080712193
3	0.5887449873
4	0.5740010439
5	0.5621117002
6	0.552407161
7	0.5428414342
8	0.5360240363
9	0.5291124596
10	0.5238670853
11	0.5172390012
12	0.5118278456
13	0.5080468286
14	0.5034239747
15	0.5000266376
16	0.4968751909
17	0.4932587681
18	0.4906982532
19	0.4877478199
20	0.4841564881
21	0.4818282934
22	0.4801601513
23	0.4778117233
24	0.4758494707
25	0.4730711287
26	0.4709893788
27	0.4688652914
28	0.4668828573
29	0.4653295899
30	0.4634383946
31	0.4616571767
32	0.4597501039
33	0.4586634162
34	0.4573290317
35	0.4558079469
36	0.4547078198
37	0.4536898529
38	0.4525222947
39	0.4512833494
40	0.4498293376
41	0.4483782226
42	0.4471495012
43	0.4463479292
44	0.4452708725
45	0.4444639521
46	0.4432086958
47	0.4422986251
48	0.4415284858
49	0.4402610361
50	0.4394336655
51	0.4384620727
52	0.4372938708
53	0.4363885815
54	0.4352231757
55	0.4345000231
56	0.4338923954
57	0.4329454396
58	0.4323033732
59	0.4315754107
60	0.4308237967
61	0.4299631422
62	0.4291318268
63	0.4284990912
64	0.4279064243
65	0.4271664587
66	0.4261206687
67	0.425410537
68	0.4246478686
69	0.4241388106
70	0.423440851
71	0.4228315455
72	0.4221921341
73	0.421602815
74	0.4208718998
75	0.4202593535
76	0.4195089013
77	0.4189733388
78	0.4182610432
79	0.4176472346
80	0.4169870484
81	0.4164891121
82	0.4160244405
83	0.4154617322
84	0.4148777867
85	0.4144115299
86	0.4137134219
87	0.4131893164
88	0.4126919483
89	0.4121883552
90	0.4116884212
91	0.411235855
92	0.4108223722
93	0.4101476965
94	0.4096301
95	0.4092051939
96	0.4087325211
97	0.4082636015
98	0.407683183
99	0.4071573405
100	0.4066149294
101	0.4060302313
102	0.4055285209
103	0.4049243404
104	0.4042664743
105	0.403792258
106	0.4032771351
107	0.4028835319
108	0.4024516838
109	0.4019296762
110	0.4014363811
111	0.4009314015
112	0.4003682203
113	0.3999507701
114	0.3994976904
115	0.3989435769
116	0.3983361017
117	0.3979063735
118	0.3974088087
119	0.3970435722
120	0.3964131203
121	0.3959686222
122	0.3954989874
123	0.3950054414
124	0.3946825518
125	0.3943252254
126	0.3939043082
127	0.3934921756
128	0.3930326912
129	0.3927113439
130	0.3923332929
131	0.3919284083
132	0.3914718876
133	0.3910813411
134	0.3906935545
135	0.390355698
136	0.3900082735
137	0.389639969
138	0.3891703968
139	0.3888654542
140	0.3884679504
141	0.3881213936
142	0.3878274021
143	0.3873929883
144	0.3871393959
145	0.3868572773
146	0.386516525
147	0.386230358
148	0.3858897506
149	0.3855609748
150	0.3851488796
151	0.3847545822
152	0.384386631
153	0.3840165596
154	0.3837356421
155	0.3833606915
156	0.3830163285
157	0.3826788103
158	0.3824109232
159	0.3820710379
160	0.3817574991
161	0.3812921794
162	0.3809672371
163	0.3806599043
164	0.3803915039
165	0.3799774237
166	0.3795788781
167	0.3791100211
168	0.3788203856
169	0.3784847728
170	0.3781761935
171	0.3778083924
172	0.377501479
173	0.3771974833
174	0.376938699
175	0.3766484139
176	0.3763900667
177	0.3761208882
178	0.3758098387
179	0.3754843158
180	0.3752220308
181	0.3748506906
182	0.3745717208
183	0.3741970394
184	0.3737614175
185	0.373452187
186	0.3731957211
187	0.3729244362
188	0.3726973807
189	0.3723959072
190	0.3721700802
191	0.3718725493
192	0.3716035267
193	0.3712312851
194	0.3709411428
195	0.3704534795
196	0.3702141488
197	0.3699557109
198	0.3696206408
199	0.3692862081
200	0.369045403
201	0.3687975203
202	0.3685090748
203	0.3682852376
204	0.368011412
205	0.3678198853
206	0.3675759207
207	0.367334768
208	0.3670973921
209	0.3668352629
210	0.3664864992
211	0.3662921853
212	0.366022541
213	0.3658447006
214	0.3656006585
215	0.3653714792
216	0.365095091
217	0.3647856594
218	0.3645583136
219	0.3642203569
220	0.3639842512
221	0.3637804133
222	0.3634833352
223	0.363153087
224	0.3628884405
225	0.362653487
226	0.3624631646
227	0.3621960536
228	0.3618754429
229	0.3616914729
230	0.3615069134
231	0.361240224
232	0.3608908039
233	0.3606118107
234	0.3603733874
235	0.3600687793
236	0.3598162499
237	0.3595349086
238	0.3592493483
239	0.3590398618
240	0.3588563846
241	0.3585946015
242	0.3583952124
243	0.3582329043
244	0.3579874401
245	0.357782721
246	0.3575731093
247	0.3573264754
248	0.3570877038
249	0.356895749
250	0.3566444046
251	0.3563189358
252	0.3560813912
253	0.3558469161
254	0.3555637105
255	0.3553395716
256	0.3551303365
257	0.3549387705
258	0.3547092678
259	0.3545367925
260	0.3543460548
261	0.3540338366
262	0.3538119231
263	0.3536379201
264	0.353461584
265	0.3532420858
266	0.3530404493
267	0.3528703486
268	0.352679722
269	0.3524554516
270	0.3522666268
271	0.3520595674
272	0.351847066
273	0.351664424
274	0.3514758138
275	0.3512628504
276	0.3510597968
277	0.350824721
278	0.3506612822
279	0.3504338357
280	0.3502044609
281	0.3499484426
282	0.3497455704
283	0.3495797275
284	0.3494399649
285	0.3492858337
286	0.3491517137
287	0.348908436
288	0.3487148703
289	0.3485119648
290	0.3483633982
291	0.3481688407
292	0.3479186524
293	0.3477794752
294	0.3476109879
295	0.3474054336
296	0.3471329719
297	0.346926794
298	0.3467566294
299	0.3465891869
300	0.3463259763
301	0.3461031819
302	0.3459505728
303	0.3457922839
304	0.345592457
305	0.345308641
306	0.3451154798
307	0.3449151806
308	0.3446988877
309	0.3444445667
310	0.3442605738
311	0.3440602161
312	0.3438809396
313	0.3437581071
314	0.3435949312
315	0.3433788815
316	0.3432343208
317	0.34308716
318	0.342918795
319	0.3426917351
320	0.3425494745
321	0.3424022962
322	0.342206316
323	0.3420118058
324	0.3418360144
325	0.3416422124
326	0.3414961734
327	0.3412870711
328	0.3410795711
329	0.3409314778
330	0.3407520213
331	0.3405946377
332	0.340434868
333	0.340246158
334	0.3400686851
335	0.3399127277
336	0.3396595229
337	0.3394955598
338	0.3393076732
339	0.3391619615
340	0.3389910861
341	0.3388622511
342	0.3386408234
343	0.3384432269
344	0.3382499006
345	0.3380886216
346	0.3379278879
347	0.3377045418
348	0.3375532138
349	0.3373834329
350	0.337144646
351	0.3369654914
352	0.3367830967
353	0.3366386703
354	0.3364851142
355	0.3363069364
356	0.3361606968
357	0.3359962077
358	0.3357916092
359	0.335605501
360	0.335407022
361	0.3352339187
362	0.3351036224
363	0.3349544492
364	0.3348066922
365	0.3345626878
366	0.3343638317
367	0.3342388945
368	0.3340904632
369	0.3339120539
370	0.3337600693
371	0.3335879576
372	0.3334507847
373	0.333325253
374	0.3331800506
375	0.3330407753
376	0.332856211
377	0.3326066831
378	0.3324464731
379	0.3322542891
380	0.3320265746
381	0.3318731881
382	0.3317034927
383	0.3315905964
384	0.3314279387
385	0.3313009776
386	0.33116315
387	0.3310527555
